Eth,MAE,N_events,Nth,RMSE,bias,chi2_ndf,chi2_ndf_dof,chi2_p,chi2_vs_poisson1,dataset,energy_captured_fraction,energy_containment_mean,energy_containment_median,energy_containment_std,energy_split_fraction,energy_unclustered_fraction,exact_match_rate,frac_0,frac_1,frac_2,frac_3plus,frac_events_containment_ge_90,frac_events_containment_ge_99,ks_D,ks_p,max_clusters,mean_clusters,median_clusters,over_cluster_rate,recon_seconds,std_clusters,under_cluster_rate
14.0,0.3228,50000,2.0,0.5728525115594764,0.08132000000000006,6332.250948677926,4,0.0,25329.003794711705,ep_iso,0.7786776690294501,0.6866110079647458,0.7171349965944714,0.18867537035044818,0.07843260526470106,0.22132233097054987,0.67988,0.12074,0.67988,0.1967,0.00268,0.0965044916837143,0.0006003735657742595,0.6150188823428847,0.0,3,1.08132,1.0,0.19938,43.53280448913574,0.5670568654639263,0.12074
14.0,0.32308,50000,3.0,0.5733410852189122,0.0815999999999999,6325.940226359205,4,0.0,25303.76090543682,ep_iso,0.7786776690294501,0.6865204940548749,0.7170561656354837,0.1886907481147077,0.07852649419395497,0.22132233097054987,0.67974,0.12074,0.67974,0.1967,0.00282,0.09637107533576447,0.0005781375077826203,0.6150188823428847,0.0,3,1.0816,1.0,0.19952,44.00080490112305,0.5675102477996561,0.12074
15.0,0.28062,50000,1.0,0.5314320276385307,0.03706000000000009,7308.175068973319,4,0.0,29232.700275893276,ep_iso,0.7688372955507138,0.6911594321212188,0.723836232321609,0.18927130926523916,0.06378815728609935,0.23116270444928622,0.72028,0.12178,0.72028,0.15704,0.0009,0.10075157876011741,0.0006226096237658987,0.6139788823428847,0.0,3,1.03706,1.0,0.15794,40.57111740112305,0.5301435441873728,0.12178
15.0,0.29338,50000,2.0,0.543635907570499,0.049819999999999975,6972.971980137127,4,0.0,27891.887920548506,ep_iso,0.7688372955507138,0.6861341999560734,0.7170561656354837,0.18972126953581567,0.06895632280511775,0.23116270444928622,0.7077,0.12178,0.7077,0.16944,0.00108,0.09641554745174775,0.0005781375077826203,0.6139788823428847,0.0,3,1.04982,1.0,0.17052,45.848894357681274,0.5413537003444028,0.12178
15.0,0.29354,50000,3.0,0.5439301425734743,0.04997999999999991,6969.161275207445,4,0.0,27876.64510082978,ep_iso,0.7688372955507138,0.6860817451212637,0.7170101077388046,0.18973334226914812,0.0690105721599377,0.23116270444928622,0.70762,0.12178,0.70762,0.16944,0.00116,0.0963266032197812,0.0005781375077826203,0.6139788823428847,0.0,3,1.04998,1.0,0.1706,35.80052900314331,0.5416344403353051,0.12178
20.0,0.18942,50000,1.0,0.43522408021615716,-0.09321999999999997,14214.759081102378,3,0.0,42644.27724330714,ep_iso,0.7167986103420281,0.6794577008618605,0.7187257436385699,0.2095180139949359,0.02266826867906722,0.2832013896579719,0.81058,0.14132,0.81058,0.0481,0.0,0.0977941830472294,0.0004891932758160633,0.5944388823428847,0.0,2,0.90678,1.0,0.0481,40.2529776096344,0.42512779992953353,0.14132
20.0,0.1935,50000,2.0,0.4398863489584554,-0.08914,13952.925041958259,3,0.0,41858.775125874774,ep_iso,0.7167986103420281,0.6775856017932121,0.716471476889085,0.2094131273280314,0.024605104332603097,0.2832013896579719,0.8065,0.14132,0.8065,0.05218,0.0,0.09552610513208218,0.0004669572178244241,0.5944388823428847,0.0,2,0.91086,1.0,0.05218,46.7831552028656,0.43076417162460373,0.14132
20.0,0.1935,50000,3.0,0.4398863489584554,-0.08914,13952.925041958259,3,0.0,41858.775125874774,ep_iso,0.7167986103420281,0.6775856017932121,0.716471476889085,0.2094131273280314,0.024605104332603097,0.2832013896579719,0.8065,0.14132,0.8065,0.05218,0.0,0.09552610513208218,0.0004669572178244241,0.5944388823428847,0.0,2,0.91086,1.0,0.05218,40.64760875701904,0.43076417162460373,0.14132
5.0,0.73878,50000,1.0,0.9976271848741893,0.49229999999999996,3469.8740693596706,6,0.0,20819.244416158024,gamma_iso,0.8849677156060547,0.7365931474079491,0.7663055691667848,0.1575215913502966,0.1479538302049804,0.1150322843939453,0.38146,0.12324,0.38146,0.38292,0.11238,0.15154826958105647,0.002117486338797814,0.6125188823428847,0.0,5,1.4923,1.0,0.4953,41.03198027610779,0.8677071904250685,0.12324
5.0,0.78592,50000,2.0,1.0418637146959289,0.5394399999999999,3861.7784285909806,6,0.0,23170.670571545885,gamma_iso,0.8849677156060547,0.7263751255688004,0.7527464767884622,0.15865798160984249,0.15826589193778792,0.1150322843939453,0.35352,0.12324,0.35352,0.3939,0.12934,0.1354735883424408,0.0018214936247723133,0.6125188823428847,0.0,5,1.53944,2.0,0.52324,50.38519310951233,0.8913475059748179,0.12324
